Date and Time,Temperature,Humidity,Weather Description,Wind Speed,Wind Direction,Clouds
2023-09-03 18:00:00,28.900000000000034,52,clear sky,3.6,273,0
2023-09-03 21:00:00,30.730000000000018,43,clear sky,4.15,308,1
2023-09-04 00:00:00,29.510000000000048,45,few clouds,2.56,311,15
2023-09-04 03:00:00,27.189999999999998,55,overcast clouds,2.22,324,97
2023-09-04 06:00:00,25.850000000000023,58,overcast clouds,1.75,331,98
2023-09-04 09:00:00,24.52000000000004,63,broken clouds,1.59,314,68
2023-09-04 12:00:00,25.150000000000034,59,scattered clouds,2.27,317,36
2023-09-04 15:00:00,29.860000000000014,42,broken clouds,1.65,299,58
2023-09-04 18:00:00,32.51000000000005,36,light rain,0.41,289,41
2023-09-04 21:00:00,32.160000000000025,40,light rain,2.12,222,35
2023-09-05 00:00:00,29.260000000000048,50,broken clouds,1.23,182,57
2023-09-05 03:00:00,28.200000000000045,57,clear sky,1.41,344,1
2023-09-05 06:00:00,26.910000000000025,60,clear sky,2.44,347,1
2023-09-05 09:00:00,25.470000000000027,66,clear sky,2.12,341,0
2023-09-05 12:00:00,25.890000000000043,63,clear sky,2.07,351,0
2023-09-05 15:00:00,30.660000000000025,46,clear sky,1.7,4,0
2023-09-05 18:00:00,34.170000000000016,36,clear sky,1.01,332,6
2023-09-05 21:00:00,34.360000000000014,35,broken clouds,1.78,12,58
2023-09-06 00:00:00,30.58000000000004,47,scattered clouds,1.76,141,37
2023-09-06 03:00:00,28.180000000000007,55,few clouds,1.33,184,20
2023-09-06 06:00:00,27.58000000000004,58,clear sky,1.53,341,10
2023-09-06 09:00:00,26.28000000000003,63,clear sky,1.86,360,0
2023-09-06 12:00:00,26.99000000000001,61,clear sky,1.41,341,0
2023-09-06 15:00:00,31.28000000000003,47,clear sky,1.38,259,0
2023-09-06 18:00:00,34.04000000000002,38,clear sky,1.45,271,0
2023-09-06 21:00:00,32.99000000000001,41,clear sky,2.39,216,0
2023-09-07 00:00:00,31.400000000000034,46,clear sky,0.47,156,0
2023-09-07 03:00:00,30.160000000000025,49,clear sky,0.73,347,0
2023-09-07 06:00:00,26.970000000000027,67,light rain,2.6,247,30
2023-09-07 09:00:00,26.629999999999995,71,overcast clouds,2.17,259,98
2023-09-07 12:00:00,26.439999999999998,67,overcast clouds,3.54,242,97
2023-09-07 15:00:00,30.83000000000004,47,overcast clouds,3.51,243,100
2023-09-07 18:00:00,32.94,41,overcast clouds,5.23,244,85
2023-09-07 21:00:00,32.49000000000001,40,overcast clouds,4.39,256,95
2023-09-08 00:00:00,29.220000000000027,55,broken clouds,3,165,75
2023-09-08 03:00:00,27.450000000000045,62,light rain,2.27,202,20
2023-09-08 06:00:00,26.57000000000005,65,light rain,2.35,224,48
2023-09-08 09:00:00,25.78000000000003,70,broken clouds,1.61,164,75
2023-09-08 12:00:00,26.460000000000036,64,broken clouds,2.27,224,69
2023-09-08 15:00:00,29.30000000000001,52,scattered clouds,2.74,183,42
