Date and Time,Temperature (°C),Humidity (%),Weather Description,Wind Speed (m/s),Wind Direction (°),Clouds (%)
2023-07-31 21:00:00,28.30000000000001,40,broken clouds,3,195,75
2023-08-01 00:00:00,27.74000000000001,41,broken clouds,3.21,9,77
2023-08-01 03:00:00,25.80000000000001,46,broken clouds,4.22,351,68
2023-08-01 06:00:00,23.110000000000014,51,broken clouds,3.86,6,73
2023-08-01 09:00:00,21.120000000000005,60,scattered clouds,4,20,28
2023-08-01 12:00:00,21.07000000000005,46,few clouds,4.83,19,17
2023-08-01 15:00:00,24.810000000000002,29,clear sky,3.5,23,1
2023-08-01 18:00:00,27.33000000000004,25,clear sky,2.59,350,0
2023-08-01 21:00:00,27.74000000000001,28,few clouds,3.46,331,17
2023-08-02 00:00:00,24.49000000000001,37,scattered clouds,4.3,18,31
2023-08-02 03:00:00,22.82000000000005,42,broken clouds,3.9,349,60
2023-08-02 06:00:00,20.870000000000005,45,scattered clouds,4.42,16,30
2023-08-02 09:00:00,19.0,50,clear sky,3.92,21,0
2023-08-02 12:00:00,19.680000000000007,45,clear sky,3.63,13,0
2023-08-02 15:00:00,23.680000000000007,32,clear sky,2.73,25,0
2023-08-02 18:00:00,26.890000000000043,26,clear sky,0.27,55,0
2023-08-02 21:00:00,26.890000000000043,28,clear sky,1.8,179,3
2023-08-03 00:00:00,23.720000000000027,42,clear sky,4.91,156,5
2023-08-03 03:00:00,22.650000000000034,49,broken clouds,4.5,188,63
2023-08-03 06:00:00,21.400000000000034,58,broken clouds,3.4,207,53
2023-08-03 09:00:00,20.25,61,broken clouds,3.11,224,78
2023-08-03 12:00:00,20.74000000000001,56,overcast clouds,2.9,231,89
2023-08-03 15:00:00,23.700000000000045,48,overcast clouds,4.63,208,100
2023-08-03 18:00:00,25.120000000000005,46,overcast clouds,5.18,196,100
2023-08-03 21:00:00,23.939999999999998,55,overcast clouds,5.74,194,99
2023-08-04 00:00:00,23.08000000000004,62,broken clouds,5.79,184,84
2023-08-04 03:00:00,21.480000000000018,83,light rain,4.71,204,41
2023-08-04 06:00:00,20.730000000000018,90,light rain,4.23,215,71
2023-08-04 09:00:00,20.33000000000004,92,light rain,3.94,250,97
2023-08-04 12:00:00,20.99000000000001,82,overcast clouds,3.48,304,94
2023-08-04 15:00:00,25.260000000000048,52,clear sky,4.52,323,9
2023-08-04 18:00:00,28.52000000000004,35,clear sky,4.91,316,4
2023-08-04 21:00:00,28.850000000000023,32,clear sky,5.85,328,0
2023-08-05 00:00:00,25.379999999999995,42,clear sky,6.23,342,0
2023-08-05 03:00:00,22.870000000000005,46,clear sky,4.06,352,0
2023-08-05 06:00:00,21.460000000000036,50,clear sky,2.92,5,0
2023-08-05 09:00:00,20.29000000000002,52,clear sky,2.06,357,0
2023-08-05 12:00:00,21.640000000000043,45,few clouds,2.25,359,14
2023-08-05 15:00:00,25.890000000000043,28,overcast clouds,0.76,68,99
2023-08-05 18:00:00,27.129999999999995,29,overcast clouds,4.28,178,99
